,article,qid,total_pageviews,description,category
645,Public_intoxication,Q7887424,4405,the state of being drunk in the public sphere,Low-importance
646,Pull-down_(exercise),Q1995651,3392,"strength training exercise, usually at the front",Unknown-importance
647,Pull-up_(exercise),Q1048487,28522,upper-body compound pulling exercise,Low-importance
648,Punching_bag,Q966668,584,bag designed to be repeatedly punched,Unknown-importance
649,"Pure,_White_and_Deadly",Q39050654,372,1972 book by John Yudkin on the damages caused by the increase in sugar consumption,Low-importance
650,Push-up,Q320575,39084,calisthenics exercise,High-importance
651,Qnet,Q12912209,1052,Hong Kong-based multi-level marketing (MLM) company owned by the QI Group,Low-importance
652,Quantified_self,Q1337542,270,movement of people who track themselves with body-related data,Low-importance
653,RICE_(medicine),Q1115133,9842,medical acronym,Mid-importance
654,Race_and_health_in_the_United_States,Q7278942,14386,overview article,High-importance
655,Rachel_Levine,Q57297528,1106451,"American professor of pediatrics and psychiatry; United States Assistant Secretary for Health, 2021–2025",Low-importance
656,Radioactive_contamination,Q817114,12801,presence of radioactive substances where they are undesirable,Low-importance
657,Radox,Q7281681,194,brand of personal care products,Low-importance
658,Ramon_Dino,Q109859288,10452,professional Brazilian Bodybuilder,Unknown-importance
659,Razor,Q13422881,3175,bladed tool or device to remove body hair,Low-importance
660,Rebound_exercise,Q3931260,506,type of elastically leveraged low-impact exercise,Low-importance
661,Recess_(break),Q176274,768,general term for a period in which a group of people are temporarily dismissed from their duties,Mid-importance
662,Regulation_of_electronic_cigarettes,Q18206812,1263,overview about the regulation of electronic cigarettes,Low-importance
663,Relative_energy_deficiency_in_sport,Q755630,686,syndrome caused by chronic low energy availability in athletes,Mid-importance
664,Remington_Products,Q825258,1219,company,Low-importance
665,Resistance_band,Q2882175,698,elastic band used for strength training and physical therapy,Low-importance
666,Resort,Q875157,3132,self-contained commercial establishment which attempts to provide for most of a vacationer's wants,High-importance
667,Respirator,Q271779,2001,"device designed to protect the wearer from inhaling harmful dusts, fumes, vapors, or gases",High-importance
668,Responses_to_the_COVID-19_pandemic_in_April_2020,Q96401587,791,aspect of the coronavirus outbreak,Low-importance
669,Responses_to_the_COVID-19_pandemic_in_February_2020,Q94381343,649,aspect of the coronavirus outbreak,Low-importance
670,Responses_to_the_COVID-19_pandemic_in_July_2020,Q96731877,176,aspect of the coronavirus outbreak,Low-importance
671,Responses_to_the_COVID-19_pandemic_in_June_2020,Q96731773,327,aspect of the coronavirus outbreak,Low-importance
672,Responses_to_the_COVID-19_pandemic_in_March_2020,Q89487202,568,aspect of the coronavirus outbreak,Low-importance
673,Responses_to_the_COVID-19_pandemic_in_May_2020,Q94141388,248,aspect of the coronavirus outbreak,Low-importance
674,Responsible_Parenthood_and_Reproductive_Health_Act_of_2012,Q368874,95,Philippine law,Unknown-importance
675,Rich_Froning_Jr.,Q15069763,16512,American CrossFit athlete,Low-importance
676,Richard_Simmons,Q498019,2949687,American fitness instructor and video producer (1948–2024),Unknown-importance
677,Rishi_Shah,Q38034475,9822,American businessman,Low-importance
678,Rock_fever,Q108101510,4424,Effect on people who move to islands,Low-importance
679,Rosalie_Bradford,Q4097406,1117,Guiness World's heaviest woman (1943–2006),Low-importance
680,Russian_twist,Q7382294,296,exercise movement,Unknown-importance
681,Ruth_Zukerman,Q56274586,248,American businessperson,Low-importance
682,SSL_International,Q1675535,251,British company,Low-importance
683,Sack_tapping,Q7396812,195,slang for a specific violent game or prank,Low-importance
684,Sackler_family,Q61911512,1224161,American billionaire family,Low-importance
685,Safe_injection_site,Q1259963,1026,medical facility,Low-importance
686,Saponification,Q335024,48430,process that involves conversion of fat or oil into soap and alcohol by the action of heat in the presence of aqueous alkali,Mid-importance
687,Saun,Q57036,737,small room or building designed as a place to experience dry or wet heat sessions,Mid-importance
688,Sauna,Q57036,91960,small room or building designed as a place to experience dry or wet heat sessions,Mid-importance
689,Schick_(razors),Q2911846,1661,brand of personal care and safety razors,Low-importance
690,Screen_time,Q28130149,3010,"amount of time spent using a device such as a smartphone, computer, television, or video game console",Low-importance
691,Sedentary_lifestyle,Q1349358,35882,inactive lifestyle with health risks,Mid-importance
692,Self-care,Q4519653,2489,"necessary human regulatory function which is under individual control, deliberate and self-initiated",Mid-importance
693,Senate_HELP_Committee,Q2495438,597,Standing committee of the United States Senate,Low-importance
694,Sensodyne,Q2046939,301,an oral health brand targeted at people with sensitive teeth,Low-importance
695,Sensory_room,Q7451139,408,"special room designed to stimulate a person's senses for therapy, usually through special lighting, music, and objects",Unknown-importance
696,Serving_His_Children,Q105563991,45018,Christian nonprofit,Low-importance
697,Set_point_theory,Q97216879,109,theory of obesity,Unknown-importance
698,Sex_workers'_rights,Q7458549,480,"Human, health, and labor rights of sex workers and their clients",Low-importance
699,Sexercise,Q7458563,1079,Exercise style,Low-importance
700,Shake_Weight,Q2276502,2905,exercise equipment,Low-importance
701,Shampoo,Q180204,47939,hair care product,Low-importance
702,Shavasana,Q2019129,30661,relaxing reclining posture in hatha yoga,Mid-importance
703,Shower_gel,Q1267611,381,liquid products used for cleaning the body,Low-importance
704,Sick_baby_hoax,Q7507594,193,confidence trick,Low-importance
705,Side_collision,Q1427114,126,"traffic collision where the sides of two vehicles such as cars, trains or ships collide",Low-importance
706,Siesta,Q203324,82933,short nap taken in the early afternoon,Unknown-importance
707,Sitz_bath,Q7532190,24211,Bath in which a person sits in water up to the hips,Low-importance
708,Skin_care,Q1294114,4021,grooming behavior,Mid-importance
709,Slave_health_on_plantations_in_the_United_States,Q7539187,111,,Low-importance
710,Slipping_rib_syndrome,Q3508629,19228,medical condition,Low-importance
711,Smith_machine,Q3543817,14248,strength training gym equipment,Unknown-importance
712,Smog,Q169994,43018,severe air pollution,Mid-importance
713,Smoking,Q662860,59143,"breathing in smoke after burning a substance and inhaling, done in order to be tasted and absorbed into the bloodstream",High-importance
714,Smoking_age,Q7546043,5531,minimum age to purchase or use tobacco products,Mid-importance
715,Smoking_and_Health,Q1247555,3279,1964 US government report on the health effects of smoking,Mid-importance
716,Smoking_ban_in_England,Q4354880,95,legislation making smoking at work illegal,Unknown-importance
717,Smoking_bans_in_the_United_Kingdom,Q4354880,191,legislation making smoking at work illegal,Unknown-importance
718,Smoking_cessation,Q2462253,23382,process of discontinuing tobacco smoking,Low-importance
719,Smoking_in_Japan,Q5365087,1306,Aspect of public health in Japan,Low-importance
720,Smoking_in_North_Korea,Q28130436,132,overview about smoking in North Korea,Low-importance
721,Snap_Fitness,Q7547254,193,US multinational fitness center franchise,Low-importance
722,Soap,Q34396,245401,"salt of fatty acids, used for washing and cleaning",High-importance
723,Social_determinants_of_health,Q3045352,14393,economic and social conditions that influence individual and group differences in health status,Mid-importance
724,Social_stigma_of_obesity,Q7074872,4146,weight prejudice,Unknown-importance
725,Socialist_Health_Association,Q15995477,459,British industry trade group for medical professionals in the Labour Party,Low-importance
726,Societal_impacts_of_cars,Q2215004,253,positive and negative impacts of cars on society,Low-importance
727,Soot,Q13174856,3563,carbonaceous residue from incomplete combustion,Unknown-importance
728,Sophrology,Q1263718,227,relaxation technique based on yoga,Low-importance
729,SoulCycle,Q17084730,4253,American fitness company and brand headquartered in New York City,Low-importance
730,Southwest_Detroit_Hospital,Q60766583,2015,"former hospital in Michigan, United States",Low-importance
731,Spa,Q1341387,20043,location where mineral-rich spring water is used to give medicinal baths,High-importance
732,Spa_town,Q4946461,6623,specialized resort town situated around a mineral spa,Low-importance
733,Space_adaptation_syndrome,Q1365937,5250,human disease,Low-importance
734,Sparx_(video_game),Q16267774,114,2013 video game,Unknown-importance
735,Spins,Q112078332,156,adverse reaction of intoxication,Low-importance
736,Sports_medicine,Q840545,3639,medical branch concerned with the effects of sport and exercise,Mid-importance
737,Sports_periodization,Q7579936,221,systematic planning of athletic or physical training,Mid-importance
738,Sports_science,Q1298380,106,interdisciplinary study of physical activity,High-importance
739,Squat_(exercise),Q1755746,69358,workout that targets the legs,High-importance
740,Squat_thrust,Q98067966,110,bodyweight exercise,Unknown-importance
741,Squat_toilet,Q1363734,66497,toilet used by squatting,Low-importance
742,Starvation_response,Q14901436,1859,any process that results in a change in state or activity of a cell or an organism,Low-importance
743,Stephania_Bell,Q7608203,13323,American writer,Unknown-importance
744,Straight_razor,Q597040,9276,knife used to remove body hair,Low-importance
745,Strength_training,Q12834857,92252,performance of physical exercises designed to improve strength,Mid-importance
746,Stress_management,Q1404268,5131,collective term for methods and coping strategies to reduce or eliminate mental or physical stress,High-importance
747,Stretching,Q1183039,15698,form of physical exercise where a muscle is stretched to improve it,High-importance
748,Strigil,Q282837,6093,curved blade used by ancient Greeks and Romans to scrape sweat and dirt from the skin after exercise or while bathing,Low-importance
749,Suicide_in_India,Q7635378,93,Statistics and causes of suicide in India.,Low-importance
750,Suicide_in_the_United_Kingdom,Q16154904,136,Statistics and causes of suicide in the U.K.,Low-importance
751,Suicide_of_Sophia,Q116814600,91,2022 death in Canada,Low-importance
752,Sun_protection_factor,Q827658,300,topical skin product that helps protect against sunburn,High-importance
753,Sun_tanning,Q321458,27722,the darkening of skin in response to ultraviolet light,Low-importance
754,Sunlight_(cleaning_product),Q7640482,93,brand of household soap,Low-importance
755,Sunscreen,Q827658,50198,topical skin product that helps protect against sunburn,High-importance
756,Sunsilk,Q596546,143,hair care brand produced by the Unilever group,Low-importance
757,Superfood,Q3772675,299,marketing term for food with supposed health benefits,Unknown-importance
758,Supersize,Q1566840,4679,size or an extent,Low-importance
759,Supervised_injection_site,Q1259963,4190,medical facility,Low-importance
760,Susan_Powter,Q7648301,98449,"Australian author, motivational speaker",Low-importance
761,Swaddling,Q130044,7277,practice of wrapping infants so as to restrict movement,Low-importance
762,Swarfega,Q7653861,39025,heavy-duty hand cleaning product,Low-importance
763,Swimming_pool_sanitation,Q1511642,166,process of maintaining a clean swimming pool,Low-importance
764,Swimming_stroke,Q1154385,11521,swimming style,Low-importance
765,Sylvia_Burwell,Q12014326,426,former United States Secretary of Health and Human Services,Low-importance
766,Sylvia_Mathews_Burwell,Q12014326,12512,former United States Secretary of Health and Human Services,Low-importance
767,T._Colin_Campbell,Q900850,2133,American biochemist,Low-importance
768,Table_of_food_nutrients,Q25324146,158,Wikimedia list article,Unknown-importance
769,Tadasana,Q196299,117,standing pose in modern yoga,Mid-importance
770,Tae_Bo,Q2165726,19970,total body fitness system,Low-importance
771,Tanning_bed,Q646347,1493,tanning using an artificial source of ultraviolet light,Unknown-importance
772,Tanning_beds,Q646347,105,tanning using an artificial source of ultraviolet light,Unknown-importance
773,Tanning_booths,Q646347,299,tanning using an artificial source of ultraviolet light,Unknown-importance
774,Tanning_salon,Q646347,240,tanning using an artificial source of ultraviolet light,Unknown-importance
775,Tedros_Adhanom,Q16196017,4109,"Ethiopian and politician, Director-General of the World Health Organization",High-importance
776,Tedros_Adhanom_Ghebreyesus,Q16196017,57771,"Ethiopian and politician, Director-General of the World Health Organization",High-importance
777,Telehealth,Q46994,69237,providing clinical health care from a distance through telecommunication and information technology,Low-importance
778,Terry_Huang,Q59617875,377,professor,Low-importance
779,The_Art_of_Massage,Q30078048,318,1895 work by John Harvey Kellogg,Low-importance
780,The_Association_of_Licentiates_of_Medical_Council_of_Hong_Kong,Q99131123,215,non-profit professional medical organization representing licentiate doctors in Hong Kong,Low-importance
781,The_Beachbody_Company,Q4875834,2494,Fitness and nutrition company,Low-importance
782,The_Body_Book,Q18389306,108,2013 health book,Low-importance
783,The_Cambridge_Diet,Q3132857,515,Meal replacement fad diet,Low-importance
784,The_China_Study,Q1820616,14420,book by T. Colin Campbell and Thomas M. Campbell II,Unknown-importance
785,The_New_Jewish_Home,Q30280291,180,"healthcare organization in New York, United States",Low-importance
786,The_Oath_of_Love,Q76823546,116,2022 Chinese romantic drama television series,Low-importance
787,The_Spirit_Catches_You_and_You_Fall_Down,Q7765894,19938,book by Anne Fadiman,Unknown-importance
788,The_Story_of_Menstruation,Q2414470,2186,1946 animated short film directed by Jack Kinney,Low-importance
789,The_World_Deadlift_Championships,Q98078261,166,annual strength competition,Low-importance
790,Therapy,Q179661,74810,"attempted medical remediation of a health problem, usually following a diagnosis",Low-importance
791,ThighMaster,Q7784123,777,exercise product,High-importance
792,Thighmaster,Q7784123,5500,exercise product,High-importance
793,Thimerosal_controversy,Q3689384,647,Controversy,Unknown-importance
794,Thiomersal_and_vaccines,Q3689384,5685,Controversy,Unknown-importance
795,This_Is_Your_Brain_on_Drugs,Q7785995,1311,US anti-drug campaign,Low-importance
796,Throat_lozenge,Q1788872,56248,medicated tablet,Low-importance
797,Time_for_Timer,Q7805309,494,television series,Low-importance
798,Tobacco,Q1566,357368,agricultural product processed from the leaves of plants in genus nicotiana,Low-importance
799,Tobacco_Master_Settlement_Agreement,Q17112596,15258,lawsuit settlement in the United States,Low-importance
800,Tobacco_consumption_by_country,Q7242345,221,percentage of population smoking tobacco,Mid-importance
801,Tobacco_packaging_warning_messages,Q2874247,651,labels on tobacco products warning of the negative impacts,Low-importance
802,Tobacco_smoking,Q7212330,68618,practice of burning tobacco and inhaling the resulting smoke,High-importance
803,Toilet_paper,Q5840,81163,tissue paper for cleaning after urination or defecation,Low-importance
804,Tom's_of_Maine,Q7814699,1096,Umbrella Brand,Low-importance
805,Tonsil_carcinoma,Q18553563,91,tonsil cancer that has material basis in squamous cells,Unknown-importance
806,Tony_Horton_(personal_trainer),Q7822596,57553,American personal trainer,Low-importance
807,Tony_Little,Q7822795,15325,American exercise instructor,Low-importance
808,Tooth_Tunes,Q7824253,2043,children's toothbrush featuring music,Low-importance
809,Toothbrush,Q134205,10558,"oral hygiene instrument used to clean the teeth, gums, and tongue",High-importance
810,Toothpaste,Q35855,46597,paste or gel dentifrice used to clean and maintain the health of teeth,High-importance
811,Towel,Q131696,777,absorbent fabric or paper used for drying or wiping a body or a surface,Mid-importance
812,Tracy_Anderson,Q7831678,16049,American fitness trainer and author,Low-importance
813,Transgender_health_care,Q28130218,30409,prevention of disease and promotion of wellbeing for transgender individuals,Mid-importance
814,Treadmill,Q839144,5565,exercise machine,Low-importance
815,Tree_pose,Q639721,270,standing balancing yoga asana,Mid-importance
816,Truth_(anti-tobacco_campaign),Q7711659,98,anti-tobacco campaign,Low-importance
817,Typhoid,Q83319,234861,bacterial infectious disorder contracted by consumption of food or drink contaminated with Salmonella typhi. This disorder is common in developing countries and can be treated with antibiotics.,Low-importance
818,Typhoid_fever,Q83319,372953,bacterial infectious disorder contracted by consumption of food or drink contaminated with Salmonella typhi. This disorder is common in developing countries and can be treated with antibiotics.,Low-importance
819,Ultra-processed_food,Q48931140,70753,type of processed food characterized by cheap ingredients and design for consumer appeal,Mid-importance
820,Underweight,Q1146902,375,classification of human body weight,Unknown-importance
821,Unisex_public_toilet,Q24922,2594,public restroom or toilet,Low-importance
822,UnitedHealth,Q2103926,302371,for-profit health care company,High-importance
823,UnitedHealthCare,Q2103926,100332,for-profit health care company,High-importance
824,UnitedHealth_Group,Q2103926,543840,for-profit health care company,High-importance
825,United_States_Army_Physical_Fitness_Test,Q626450,67056,U.S. Army fitness test,Unknown-importance
826,United_States_Department_of_Veterans_Affairs,Q592576,136048,department of the United States government,Low-importance
827,"United_States_Senate_Committee_on_Agriculture,_Nutrition,_and_Forestry",Q7891257,247,standing committee of the United States Senate,Low-importance
828,"United_States_Senate_Committee_on_Agriculture,_Nutrition_and_Forestry",Q7891257,229,standing committee of the United States Senate,Low-importance
829,"United_States_Senate_Committee_on_Health,_Education,_Labor_and_Pensions",Q2495438,5426,Standing committee of the United States Senate,Low-importance
830,Universal_health_care,Q3274205,73197,system that grants access to healthcare to all residents or citizens of a country or region,Mid-importance
831,University_of_Colorado_Physical_Therapy_Program,Q125421431,146,"doctor of Physical Therapy Program in Colorado, USA",Low-importance
832,Unlicensed_assistive_personnel,Q1078096,2050,paraprofessionals who assist with bedside care under the supervision of a registered nurse,Low-importance
833,Urban_green_space,Q22652,786,green area planned in an urban location,Low-importance
834,Usana_Health_Sciences,Q2502355,368,American multi-level marketing company,Mid-importance
835,VO2_max,Q60354,157866,"maximum rate of oxygen consumption as measured during incremental exercise, most typically on a motorized treadmill",High-importance
836,Vajrasana_(yoga),Q2043002,981,asana in yoga,Mid-importance
837,Valsalva_maneuver,Q1427231,172901,technique for equalising pressure in the middle ears,Mid-importance
838,Vegetarian,Q83364,152650,practice of abstaining from the consumption of meat,Mid-importance
839,Vegetarianism,Q83364,110761,practice of abstaining from the consumption of meat,Mid-importance
840,Vemma,Q14680767,551,American multi-level marketing company,Low-importance
841,Ventilated_cigarette,Q6546512,220,type of cigarette,Mid-importance
842,Veradigm,Q4733274,407,American company,Low-importance
843,Very-low-calorie_diet,Q4310180,4170,diet with very or extremely low daily food energy consumption,Mid-importance
844,Vestibular_rehabilitation,Q60742850,1893,form of physical therapy for vestibular disorders,Low-importance
845,Vibrating_belt_machine,Q47529319,674,excercise machine,Low-importance
846,Villejuif_leaflet,Q2661225,361,1970s misinformation about food additives,Unknown-importance
847,Vin_Gupta_(pulmonologist),Q110620404,13787,American scientist,Low-importance
848,WakeUpNow,Q19866297,541,American multi-level marketing company,Low-importance
849,Walking,Q6537379,7265,"one of the main gaits of locomotion among legged animals, typically slower than running and other gaits; characterized by a 'vaulting' movement of the body over the legs, frequently described as an inverted pendulum",High-importance
850,Washing,Q23841,345,method of cleaning using flowing liquid,High-importance
851,Water_supply,Q1061108,1621,"provision of water by public utilities, commercial organisations, community endeavors or by individuals",Low-importance
852,Watkins_Incorporated,Q7974706,1542,"manufacturer of health remedies, baking products, and other household items",Low-importance
853,Wayne_McLaren,Q1349807,272,"Stuntman, model, actor, rodeo performer (1940–1992)",Low-importance
854,WebMD,Q3536160,44769,American corporation which provides health information services,Mid-importance
855,Weight-loss,Q718113,5476,reduction of the total body mass,High-importance
856,Weight_Loss,Q718113,1846,reduction of the total body mass,High-importance
857,Weight_Watchers_(diet),Q84763014,201,commercial diet and program for weight loss and healthier diet,Unknown-importance
858,Weight_gain,Q3403879,283,increase in a person's total body mass,Unknown-importance
859,Weight_loss,Q718113,126961,reduction of the total body mass,High-importance
860,Weight_loss_camp,Q17075504,828,,Mid-importance
861,Weight_plate,Q2220762,6121,strength training equipment,Unknown-importance
862,Weightlifting,Q114397581,2723,sport or exercise involving lifting weights,High-importance
863,WellCare,Q7981065,1395,American health insurance company,Low-importance
864,Wendell_Potter,Q7982468,10218,"Former American health insurance executive, whistleblower, and single-payer healthcare advocate",Low-importance
865,Wet-bulb_conditions,Q107739565,1067,,Low-importance
866,Why_We_Sleep,Q42530022,11298,book by Matthew Walker,Unknown-importance
867,Will_Bulsiewicz,Q110404137,1868,American gastroenterologist,Low-importance
868,William_Addis_(entrepreneur),Q18716080,96,English entrepreneur; (1734-1808),Low-importance
869,William_R._Frist,Q20740866,169,"American businessperson, board member, a principal of Frist Capital LLC",Low-importance
870,Winter-over_syndrome,Q8026184,2836,psychological condition related to the Antarctic winter,Low-importance
871,Wireless_device_radiation_and_health,Q612254,1191,health Phenomenon,Low-importance
872,Workaholic,Q629149,7006,person who works compulsively,Mid-importance
873,Workplace_wellness,Q17090349,281,any workplace health promotion activity or organizational policy designed to support healthy behavior in the workplace and to improve health outcomes,Low-importance
874,World_Patient_Safety_Day,Q67604123,97,one of WHO's global public health days,Unknown-importance
875,Worldwide_Roar_(organization),Q104870664,267,non-profit mental health organization,Low-importance
876,Wrexham_and_East_Denbighshire_War_Memorial_Hospital,Q123807853,1157,"former hospital, now college building, in Wrexham, Wales",Low-importance
877,Yoga,Q9350,606990,"group of physical, mental and spiritual practices originating from ancient India",High-importance
878,Yoga_as_exercise,Q65091595,4324,physical activity consisting mainly of yoga poses,High-importance
879,Young_Living,Q18067581,2947,American multi-level marketing company,Low-importance
880,Zero_emission_zone,Q647266,127,defined area,High-importance
881,Zumba,Q229680,42089,dance fitness program,Mid-importance
882,Zyzz,Q2618609,181047,Russian-born Australian bodybuilder and Internet celebrity and peruvian,Mid-importance
